id,category,package_id,bill_type,bill_num,block_type,n_words,editlens_score_max,ai_c65,topic,stage,error,prediction_short,fraction_ai,fraction_ai_assisted,fraction_human,sentences
BILLS-119hr7420ih_findings,crime_ai,BILLS-119hr7420ih,hr,7420,findings,116,0.94215,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr7572ih_findings,crime_ai,BILLS-119hr7572ih,hr,7572,findings,106,0.87192,True,crime,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr8594ih_findings,crime_ai,BILLS-119hr8594ih,hr,8594,findings,457,0.87797,True,crime,STAGE_SUCCESS,,Mixed,0.18125610053539276,0.818743884563446,0.0,[]
BILLS-119hr8860ih_findings,crime_ai,BILLS-119hr8860ih,hr,8860,findings,84,0.97792,True,crime,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr8957ih_findings,finance_ai,BILLS-119hr8957ih,hr,8957,findings,143,0.8914,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr9013ih_findings,crime_ai,BILLS-119hr9013ih,hr,9013,findings,332,0.68969,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr9056ih_findings,finance_ai,BILLS-119hr9056ih,hr,9056,findings,140,0.96526,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr9097ih_findings,labor_control,BILLS-119hr9097ih,hr,9097,findings,611,0.23205,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr916ih_findings,finance_ai,BILLS-119hr916ih,hr,916,findings,601,0.80387,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr9276ih_findings,crime_ai,BILLS-119hr9276ih,hr,9276,findings,103,0.82857,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr9520ih_findings,labor_control,BILLS-119hr9520ih,hr,9520,findings,265,0.13772,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr976ih_findings,finance_ai,BILLS-119hr976ih,hr,976,findings,101,0.98974,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hres1063ih_preamble,labor_control,BILLS-119hres1063ih,hres,1063,preamble,452,0.12054,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hres494ih_preamble,crime_ai,BILLS-119hres494ih,hres,494,preamble,301,0.80822,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hres513ih_preamble,labor_control,BILLS-119hres513ih,hres,513,preamble,603,0.20761,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hres535ih_preamble,crime_ai,BILLS-119hres535ih,hres,535,preamble,444,0.9815,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hres577ih_preamble,crime_ai,BILLS-119hres577ih,hres,577,preamble,742,0.72438,True,crime,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hres690ih_preamble,labor_control,BILLS-119hres690ih,hres,690,preamble,916,0.21968,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hres746ih_preamble,crime_ai,BILLS-119hres746ih,hres,746,preamble,385,0.74777,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hres844ih_preamble,crime_ai,BILLS-119hres844ih,hres,844,preamble,384,0.90933,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119s1115is_findings,labor_control,BILLS-119s1115is,s,1115,findings,645,0.07009,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119s1727is_findings,labor_control,BILLS-119s1727is,s,1727,findings,302,0.02831,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119s2019is_findings,finance_ai,BILLS-119s2019is,s,2019,findings,88,0.85172,True,finance,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119s3062is_findings,crime_ai,BILLS-119s3062is,s,3062,findings,91,0.91746,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119s3104is_findings,crime_ai,BILLS-119s3104is,s,3104,findings,111,0.72405,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119s3339is_findings,labor_control,BILLS-119s3339is,s,3339,findings,243,0.13985,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119s3476is_findings,finance_ai,BILLS-119s3476is,s,3476,findings,177,0.99888,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119s557is_findings,finance_ai,BILLS-119s557is,s,557,findings,107,0.92789,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119sconres16is_preamble,labor_control,BILLS-119sconres16is,sconres,16,preamble,868,0.29117,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119sconres31is_preamble,labor_control,BILLS-119sconres31is,sconres,31,preamble,740,0.24872,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119sconres36is_preamble,labor_control,BILLS-119sconres36is,sconres,36,preamble,891,0.32637,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119sres122is_preamble,labor_control,BILLS-119sres122is,sres,122,preamble,664,0.14421,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119sres315is_preamble,labor_control,BILLS-119sres315is,sres,315,preamble,225,0.0517,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119sres325is_preamble,crime_ai,BILLS-119sres325is,sres,325,preamble,611,0.65013,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119sres762is_preamble,labor_control,BILLS-119sres762is,sres,762,preamble,698,0.18468,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
